id,title,content
57,"Nguyên nhân nào dẫn đến tình trạng tụt xương, mất xương, và cách khắc phục ntn ạ",Tình trạng mất xương do quá trình lão hoá bình thường ở cả nam và nữ đây cũng là nguyên nhân của bệnh loãng xương. Nên đối với người trung niên và người già nên thường xuyên bổ sung canxi để dự phòng và điều trị nâng cao sức khoẻ của xương hơn ạcơ thể chúng ta có 2 cơ chế song song _ bồi xương và hủy xương .em bé nhỏ đang lớn thì quá trình Bồi xương phát triển mạnh hơn quá trình hủy xương .Sau 35 tuổi quá trình hủy xương cao hơn muốn xương chắc khỏe : 1 Vận động phù hợp với độ tuổi.2 Phơi nắng ngày 1h ( mặc quần áo ngắn và tầm 10-11 h hoăc 2-3h chiều ) để hấp thụ chuyển hoá Vitamin D2 chuyển sang Vitamin D3).3 Không để táo bón hoặc tiêu chảy thì không hầp thủ Cancil từ Ruột vào mạch máu .4 Và có ý thức bổ sung Calci định kỳ 6 tháng / 1 năm và sang năm lại tiếp tục. Vi dụ 2 ống MiduMenaQ7 180 mcg Sau tuổi 45 nên đo mật độ xương và nếu tỷ lệ loãng xương nếu giảm hơn 45% thì điều trị loãng xương 3 năm .
58,Trường hợp khách bị tụt calci huyết thì mình có thể thay thế calci sủi bằng calci ống của mình k ạ??? Và được thì uống liều ntn ạ ? Và kết quả có nhanh bằng với uống calci sủi trong trường hợp BN tụt calci k ạ???,Uống MiduMenaQ7 180 mcg 4 ống có 720 mcg K2 và K2 mới có khả năng vận chuyển Ca+2 vào xương . nên nếu người nhà bị Hạ Cancil huyết nhất thiết uống MiduMenaQ7 180 mcg ngày 4 ống sau 10 ngày có thể dùng 2 ống MiduMenaQ7 180 mcg và 1 viên MiduMenaQ7 360 mcg ❤️Khi bị hạ canxi máu có thể sử dụng Midu 180 chị nhé. Trong Midu không những có canxi mà còn có D3 giúp hấp thụ canxi vào máu ạ. Liều lượng sử dụng như bác sĩ đã nói trên chị nhé
59,Giờ phơi nắng,"Theo định luật Shadow trong hấp thụ vitamin D của giáo sư Edward Gorham, Đại học California, Mỹ, khi độ dài của bóng cơ thể ngắn hơn chiều cao là thời điểm thích hợp nên phơi nắng. Tia UVB là loại tia duy nhất có tác dụng kích thích tiền chất vitamin D3. Trước 9h sáng và sau 4h chiều, tia UVB bị hấp thu gần như hoàn toàn bởi tầng ozone, chỉ có chủ yếu tia UVA nên vitamin D sẽ không được tổng hợp nếu phơi nắng. Do đó, thời gian phơi nắng phù hợp nhất ở Việt Nam trong khoảng 9 đến 10h sáng hoặc từ 3 đến 4h chiều."
60,"Bị tê, không có cảm giác","Trường hợp này dùng được Midu chị nhé. Chị cho uống 2 ống Midu 180/ngày. Trong Midu 180 có Vitamin B6, Magnesi sẽ làm tăng cảm giác dẫn truyền"
61,2 bàng chiều cao và cân nặng chuẩn không đồng nhất,"Cả 2 đều đúng nhưng bảng cân nặng theo từng tháng sẽ chuẩn hơn. Ở 2 bảng sẽ có sự biến thiên từ 16 - 24 % (-3SD đến +3SD) (đây đều được tính theo công thức) Nên nếu truyền thông, hay gửi kết quả cho KH thì cứ lấy bảng chuẩn theo tháng"
62,Dùng Midu 360 có cần dùng thêm glucosamine?,"Chị có thể bổ sung 1 viên midu 360, Midu chuyên về xương nên chỉ hỗ trợ được một phần bệnh lý, đau mỏi thì mình có thể bổ sung thêm các loại dưỡng chất có chứa Glucosamine nữa chị nhé"
63,Dậy thì sớm,"Dậy thì sớm thường được hiểu là bạn (nam và nữ) có dấu hiệu dậy thì trước 8 tuổi. Bạn nam thì thường không phát hiện mà phải đi khám bác sĩ. Bạn nữ được hiểu là có kỳ kinh đầu tiên Ở những bạn có sinh lý binh thường, giai đoạn trước 8 tuổi là hormone tăng trưởng hoạt động mạnh, chiều cao của bạn tăng đều từ 6 - 8 cm/năm bạn dậy thì sớm (hormone sinh dục hoạt động mạnh) bạn cao vọt trong 3 năm và trong các năm tiếp theo, bạn dường như không còn cao được nữa so với các bạn bè cùng trang lứa. Nên những bạn dậy thì sớm thì sẽ khó đạt được chiều cao như mong muốn, chị nhé"
64,Uống Midu180 tiêu chảy,"việc tiêu chảy thì cũng là triệu chứng thường của các bạn nhỏ. Chỉ cần ăn uống gì đó lạnh bụng là có thể bị tiêu chảy dù có sử dụng sản phẩm hay không. Mặc khác trong Midu 180 có thành phần sorbiton giúp nhuận tràng. Nên mặc dù sản phẩm Midu không gây tiêu chảy nhưng khi các con bị tiêu chảy thì cũng nên ngừng vài ngày để hệ tiêu hóa thực sự ổn, lại cho các con dùng tiếp thì sẽ không sao cả."
65,Gai cột sống,"Gai cột sống là sụn khớp và đĩa đệm phải chịu áp lực thường xuyên và lâu dài, dẫn đến hậu quả sụn xương dưới sụn bị tổn thương, bào mònNên mình có thể sử thêm 1 viên Midu 360/ngày để cải thiện phần xương và thường xuyên luyện tập trị liệu thần kinh cột sống chị nhé. Midu chỉ có thể hỗ trợ 1 phần không điều trị được bệnh ạ"
66,Khớp gối kêu,"Chị có thể bổ sung 1 viên Midu 360/ngày ạ. Nhưng Midu thì chuyên về xương nên khớp thì mình có thể bổ sung thêm các dưỡng chất khác (glucosamin,...) chị nhé"
67,Cắt tuyến giáp uống canxi như nào?,Trường hợp mới cắt thì cho uống 2 ống midu 180/ ngày duy trì. Đã cắt qua 6 tháng- 1 năm cho uống 2 ống midu 180+ 2 viên 360/ ngày nặng hơn phải tiêm truyền canxi
68,Tiểu đường,1 viên 360 hoặc 2 ống 180
69,Những bé hụt cân có ảnh hưởng tới chiều cao không?,"Thiếu cân nặng k liên quan đến việc tăng chiều cao chị nhé. Thiếu cân nặng do Thiếu dinh dưỡng, suy dinh dưỡng thể còi, k có cân nặng để tăng trưởng👉 Khẩu phần ăn ít 👉 Mối liên hệ bệnh tật"
70,Tiền thân Midu,"Midu MenaQ7 tiền thân là Công ty TNHH Đầu tư dược phẩm Minh Đức, năm 2021 đổi tên thành công ty Cổ phần MenaQ7 Việt NamMenaQ7 Việt Nam là Công ty Dược có nhiều sản phẩm thuốc, thực phẩm chức năng có tác dụng khác nhau. Sau đó đã tách riêng ra Công ty MenaQ7 Việt Nam chuyên về các loại thuốc. Còn Công ty Midu MenaQ7 tập trung duy nhất vào sứ mệnh tăng chiều cao và bổ sung canxi cho mọi lứa tuổi ạ"
71,"Uống nhiều quá ống quá cùng lúc có ảnh hưởng hấp thu, đào thải không kịp gây ra bệnh khác à, phat triển chiều cao, thể chất cho con là 1 quá trình dài nên cần kiên nhẫn và bổ sung hợp lý","có thể uống 5 ống midu 180/lần mà không bị sao chị nhé. Điều chị đang nói đến là cơ chế bơm và chuyển hóa canxi & kali cùng 1 lúc - Về nguyên tắc, bổ sung quá nhiều canxi, kali cùng 1 lúc còn gây choáng, đỏ mặt, trụy tim,...Tuy nhiên, trong 1 ống midu 180 chỉ có 95ion canxi nguyên tố, dùng 5 ống midu 180/lần hay dùng 2 viên midu 360/lần đều an toàn, nên sẽ không bị quá liều hay ảnh hưởng tới việc hấp thu ạ"
72,Nên tích hợp thêm thời điểm dậy thì của con thì dự đoán sẽ chuẩn hơn,"độ tuổi 10-12 đối với nữ và 12-14 đối với nam là độ tuổi dậy thì và phần mềm cũng đã tích hợp phần này rồi. Nếu trước độ tuổi này thì con bị dậy thì sớm. Trước khi tư vấn ở độ tuổi này thì chuyên gia nào cũng cần hỏi con đã có dấu hiệu dậy thì chưa, hay con đã dậy thì được bao lâu rồi để có hướng tư vấn tới từng trường hợp Và đây cũng là cơ hội để mỗi chuyên gia có thể tới gần với khách hàng của mình hơn, quan tâm tới khách hàng của mình hơn chị nhé. Vậy thì việc thất vọng của khách hàng là không còn rồi ạ.MIDU cũng có nhận được 1 số ý kiến giống như chị, tuy nhiên, phần tích hợp này vẫn không cho vào chị nhé. Phần mềm dự đoán chiều cao là tích hợp các yếu tố ảnh hưởng đến chiều cao ạ."
73,thông tin công ty,"Công ty Midu MenaQ7 tiền thân là công ty TNHH Đầu tư Dược phẩm Minh Đức. Thế nên về sau các sản phẩm cũng được gọi là Midu là tên gọi tắt của Minh Đức.Công ty Minh Đức được thành lập từ năm 2010 bởi bác sĩ Phạm Thị Thanh Hiên. Và trong hơn 10 năm qua, Công ty đã có nhiều những nghiên cứu và có khá nhiều các sản phẩm nổi tiếng trên thị trường trong các kênh OTC như thuốc ho Naomy, Vitamin C CClife, Midu 6 enzyme… Nhưng từ năm 2016 thì bác sĩ Phạm Thị Thanh Hiên bắt đầu nghiên cứu và sản xuất ra những phiên bản đầu tiên của sản phẩm Midu MenaQ7 và từ đó thì chị quyết tâm dành cả cuộc đời còn lại cho việc nghiên cứu và phát triển các giải pháp tổng thể cho việc phát triển chiều cao cho trẻ em Việt Nam và toàn thế giới. Chính vì vậy, công ty đã đổi tên thành Công ty MenaQ7 Việt Nam và sau này là Midu MenaQ7"
74,"trong phần mềm dự đoán chiều cao nên có yếu tố khảo sát trẻ đã dậy thì chưa, vì việc này rất quan trọng ảnh hưởng đến kết quả dự đoán chiều cao tuổi 20 của con","Theo sinh lý chung, tuổi dậy thì là 11 - 12 với con gái, 13 - 14t đối với con trai. Và phần mềm dự đoán cũng dựa vào đó để phân tích. Trường hợp con dậy thì sớm thì đây cũng là cơ hội để mình chia sẻ với khách hàng được nhiều hơn. Bên cạnh đó, phần mềm dự đoán chiều cao bám vào các yếu tố ảnh hưởng đến chiều cao của trẻ, chứ không lấy yếu tố dậy thì chưa để phân tích và dự đoán chiều cao. Nên phần này, Midu sẽ không cho thêm vào dc ạ"
75,Arginine được chiết xuất từ gì?,"Arginine không sản xuất từ gì. Arginine được sản xuất từ thành phần hóa học và cấu trúc phân tử để tạo ra. Sản phẩm được sản xuất từ thành phần hóa học nên hoạt tính sinh học sẽ được ổn định, tinh khiết hơn"
76,Hàm lượng Arginin ( arginine có hàm lượng 2000mg/ống),Arginine có thể dùng với hàm lượng 150 - 175mg/kg cân nặng/ngày chị nhé
77,Khi nào dùng Midu180? Khi nào dùng Midu360,"dạng ống sử dụng Calci Glucoheptonate có khả năng hấp thu nhanh và tốt hơn Trucal. Chính vì vậy với các bạn thấp lùn muốn tăng cao nhanh, vượt trội và những người lớn muốn xử lý nhanh các vấn đề về xương cấp thì sử dụng Midu180 dạng nước chị nhéCác bạn đã cao rồi nếu muốn chắc khỏe hoặc người lớn muốn chống loãng xương thì Midu MenaQ7 360mcg sẽ là lựa chọn để bền vững vì sản phẩm này không chỉ có canxi mà còn đầy đủ các khoáng chất và dưỡng chất tốt cho xương và hệ cân cơ chị ạ"
78,"Khách mua ở chỗ khác được chiết khấu cao, bán phá giá","Để tiện cho việc xử lý bán phá giá. Em hỏi xem người bán tên gì ở đâu nhé. Mình có thể nói với khách hàng là các kênh bán hàng của Công ty đều yêu cầu bán đúng giá. Nên nếu có nơi nào bán giảm 15% thì tớ cũng lo lắng cho bạn là không biết có đúng hàng công ty không, có giấy phân phối hàng chính hãng như tớ không.Bạn nên hỏi lại thông tin để kiểm tra."
79,Theo danh sách các thương hiệu trên thế giới có sử dụng MenaQ7 từ NattoSao k có tên công ty mh trong danh sách,"MIDU đã làm việc và đúng là trang web của MenaQ7 đưa lên còn sót. Hiện tại MIDU đã có chứng thư của hãng, nên chị yên tâm nhé, em gửi lại chị chứng thư dưới đây.Tuy nhiên, cũng cần có thời gian hãng mới đưa tên của Midu lên được. Khi nào có em sẽ thông tin lại chị"
80,"thời tiết nóng như này mà SP Midu nhà mình toàn vận chuyển thường không dùng xe lạnh,Bs sợ không đảm bảo chất lượng","Vẫn đảm bảo chất lượng ạ, mình đã đóng gói qua lớp carton và xốp rồi - k tiếp xúc trực tiếp với ánh nắng nên Midu vẫn đảm bảo chị nhé. Dùng xe lạnh dành cho vắc xin thôi ạ"
81,"Tại sao hướng dẫn của Midu45 bên trên là buổi sáng, bên dưới viết dùng lúc nào cũng được?","Về cách dùng, mình nên dùng sau bữa ăn và tốt nhất nên dùng vào buổi sáng chị nhé. Vì trong công thức của sản phẩm có Vitamin C, con dùng vào buổi chiều hay tôi sẽ bị thức, mất ngủ ạĐiểm đặc biệt của sản phẩm là dòng canxi glucoheptonate - Bản chất dòng canxi này là tan hoàn toàn trong nước, dùng giờ nào cũng được. Nhưng khi kết hợp với công thức của Midu 45mcg thì mình nên cho các con dùng theo phần cách dùng là sử dụng vào buổi sáng chị nhé"
82,công thức của bác sĩ Hiên cho bé đã dậy thì:,4 ống Midu180 + 3 arginine (đối với con gái)/4 ống arginine (đối với con trai) + 30ml CC life + 3 viên Magie B6 + 1 lọ DHA (2 tuần uống 1 lọ)
83,Tại sao lại nên dùng midu 360 cho phụ nữ sau sinh,"Dạ mẹ sau sinh đang cho con bú dùng midu 360 là chân ái chị ạ Canxi có trong dòng sản phẩm Midu MenaQ7 360 là canxi Trucal, Canxi và hệ khoáng chất được tách chiết từ sữa – trùng tới 98% hệ khoáng chất của ngườiChính bởi vậy sản phẩm được coi là “Chân ái” cho người chống loãng xương và đặc biệt phù hợp với các mẹ đang cho con bú vì sẽ cộng hưởng rất tốt với sữa mẹ, tạo nên dòng sữa tuyệt vời cho con ạ"
84,K2 có làm đông máu không,"K2 không gây đông máu chị nhéCác trường hợp máu khó đông thì cần bổ sung vitamin K1 (có vai trò chống đông máu) sẽ làm giảm nguy cơ chảy máu không kiểm soát.Điều trị chảy máu hay đe dọa chảy máu do thiếu prothrombin hay yếu tố đông máu (yếu tố VII trong máu).Với vitamin K2 có tác dụng cân bằng canxi, móc canxi từ lòng mạch và đưa canxi vào xương. Vitamin K2 hoạt động trong tế bào như là chìa khóa để tác động cơ của tế bào hủy xương giúp ngăn chặn tế bào hủy xương.Tỷ lệ K2 càng cao thì sẽ giúp cơ thể làm ""nhiều điều tuyệt vời hơn"" như sạch mạch máu, tốc độ xử lý nhanh hơnVitamin K2 có gây đông máu hay không?Nhiều người thắc mắc dùng vitamin K2 có tác dụng đông máu thì có nguy cơ làm tăng hình thành các cục máu đông vậy như thế có đúng hay không?🍀 Các trường hợp máu khó đông thì cần bổ sung vitamin K1 (có vai trò chống đông máu) sẽ làm giảm nguy cơ chảy máu không kiểm soát.Điều trị chảy máu hay đe dọa chảy máu do thiếu prothrombin hay yếu tố đông máu (yếu tố VII trong máu).🍀 Với vitamin K2 có tác dụng cân bằng canxi, móc canxi từ lòng mạch và đưa canxi vào xương. Vitamin K2 hoạt động trong tế bào như là chìa khóa để tác động cơ của tế bào hủy xương giúp ngăn chặn tế bào hủy xương.Tỷ lệ K2 càng cao thì sẽ giúp cơ thể làm ""nhiều điều tuyệt vời hơn"" như sạch mạch máu, tốc độ xử lý nhanh hơn,...➡️ Chính vì vậy bổ sung vitamin K2 không tăng nguy cơ hình thành các cục máu đôngVitamin K nói chung có tác dụng đông máu nhưng là đông máu để không bị xuất huyết. Cơ thể cần cơ chế này nếu không sẽ chảy máu gây ra những hậu quả nghiêm trọng thậm chí dẫn đến tử vong. Nói đúng nhất là Vitamin K điều hòa sự đông máu cần thiết"
85,Canxi Trucal được chiết xuất từ sữa vậy CTHH của Trucal là gì?,"Trucal là một phức hợp khoáng chất cân bằng trong sữa cung cấp 7 khoáng chất (Canxi, Phốt pho, Magie, Kali, Kẽm, Sắt và Đồng)Còn Trucal trong Midu là tách từ phức hợp trên nên không phải gốc muối canxi nên không có CTHH ạ"
86,"Tiến sĩ Hogne Vik chia sẻ: 180mcg MK7 sử dụng cho 70kg cân nặng. Tại VN, sp Midu MenaQ7180mcg trong 10ml dung dịch uống có chứa 180mcg MK7. Theo đó liều uống khuyến nghị cho bé trai 4 tuổi dưới chuẩn độ 2 cả chiều cao cân nặng là 2 ống, tương đương 360mcg. Vậy thì liều dùng như vậy có phù hợp không?chia sẻ của TS ""hàm lượng 180mcg cho người có cân nặng 70kg, người có cân nặng 30kg thì dùng hàm lượng 90mcg""","Tiến sĩ Hogne Vik là người chỉ đạo các nghiên cứu lâm sàng nên chỉ trả lời theo các hàm lượng phổ biến đã nghiên cứu. Đối với việc khoáng hóa xương, người ta chủ yếu nghiên cứu với hàm lượng 180mcg. Chính vì vậy nếu để nghiên cứu việc khoáng hóa xương cho trẻ em thì 90mcg là đủ để thấy được sự gia tăng mật độ xương so với nhóm không dùng.Nhưng các anh chị em học chương trình của Midu cũng đã nghe được nội dung: Người châu Âu họ ko có mục tiêu chiều cao. Còn người Việt, đặc biệt với các bạn nhỏ thấp dưới chuẩn thì cần phải nỗ lực hơn họ rất nhiều.Trong buổi tham luận ngày 29/9, Tiến sĩ Vik cũng chia sẻ. Trẻ em bình thường thì chúng ta cứ nghĩ là liều người lớn chia hai. Nhưng thực tế trẻ em lại còn cần hơn. Do lượng osteocalcin của trẻ em lớn hơn đặc biệt trong giai đoạn tiền dậy thì nên nó cần lượng Vitamin K2 lớn hơn để kích hoạt lượng osteocalcin đó."
87,Phóng sự về TPCN trên VTV,"Phóng sự này do VTV thực hiện ngày 10/9. Sau đó, tôi cũng đã gặp trực tiếp ê kíp sản xuất phóng sự này. Các chị ấy có trả lời là đưa tin chung chung về ngành dựa vào một số bác sĩ có phản ánh là nhiều đơn vị làm TPCN bây giờ quảng cáo thổi phồng. Không có ý phản ánh Midu. Nhưng có lẽ do lên internet, media của chúng ta rất là nhiều nên phía đài cứ đưa vào như một ví dụ. Các chị ấy cũng xin lỗi, nhưng đương nhiên không thể thay đổi được nữa.Tới nay đã gần 1 tháng mà các chị ở nhóm này mới bàn tán thì mình cập nhật thông tin về công ty cũng là hơi muộn. Ngay khi có phóng sự, cũng rất nhiều đại lý nhắn tin hỏi Midu và có đại lý bảo ""Thế này thì làm sao bán được hàng nữa?"" và cũng có 1 số comment tiêu cực khác từ chính các anh chị đại lý.Nhưng thực tế thì hàng ngày, sản phẩm của Midu vẫn đang đến với người tiêu dùng, vẫn đang giúp các con cao lên. Sản phẩm của Midu vẫn là sản phẩm bán chạy nhất sàn. Trong tháng 9 vẫn có nhiều đại lý có doanh số cá nhân hàng trăm triệu. Không có gì thay đổi cả.Vậy khách hàng có thực sự hoang mang hay chính chúng ta hoang mang hộ khách hàng?Những best seller vẫn bán hàng trăm triệu kia, khách hàng của họ không xem tivi sao?Khi học chuyên gia phát triển chiều cao, tôi có đào tạo các anh chị về vị thế, về ""kết quả là chân lý"". Khi xảy ra bất cứ sự việc gì, mình đã là chuyên gia phát triển chiều cao mà mình lại tiêu cực còn hơn khách hàng thì sao mà làm được. Còn về niềm tin, dù là cơ quan nào nói, khách hàng chưa sử dụng thì họ không quan tâm, khách hàng đã sử dụng thì họ tin vào số cm mà con họ có được. Đó là chân lý!"
88,Phóng sự về TPCN trên VTV,"Bản chất phóng sự trên VTV là cảnh báo cộng đồng không nên lạm dụng thực phẩm chức năng, không nên nghe theo những lời quảng cáo không căn cứ thổi phồng công dụng, đặc biệt là những lời quảng cáo sai cơ cở khoa học như đến 23 tuổi vẫn có thể cao lên được. Điều này, chính là những gì Midu đang miệt mài đào tạo cho cộng đồng trong suốt nhiều năm qua!Trong video VTV, đúng là có đưa một số từ video feedback của Midu. Nhưng những kết quả đó (con chị Xuân và con chị Thúy) đều là người thật việc thật và vẫn đang được chính các anh chị chuyên gia phát triển chiều cao của chúng ta định hướng và chăm sóc. Có lẽ chính những người làm phóng sự này cũng không thể biết rằng lại có một nơi làm thật như Midu. Bác sĩ Phạm Thị Thanh Hiên cũng đã là khách mời và từng chia sẻ trên VTV2 về các giải pháp tăng chiều cao khoa học tổng thể của Midu và được ban biên tập quan tâm và mong muốn được áp cho chính con của các anh chị ở đó.Về phía video, ban biên tập cũng đã rất tinh tế che tất cả những gì liên quan tới Midu. Với một cơ quan truyền thông lớn như VTV thì phía đài cũng không dễ quy chụp khi chưa tìm hiểu và làm việc trực tiếp nên chỉ đưa hình ảnh làm ví dụ. Cũng rất cảm ơn các anh chị, chính sự lan tỏa của các anh chị làm cho khi bất cứ đài báo nào muốn tìm các video nói về tăng chiều cao thì các media của mình cũng xuất hiện nhiều nhất. Nếu các anh chị nhà mình nhìn nhận tích cực thì đây lại chính là cơ hội để khẳng định một cách rõ ràng những kết quả của chính con mình, chính khách hàng của mình trong suốt thời gian qua."
89,Hàm lượng k2 cao quá,"Vitamin K2 không những gắn canxi từ trong midu 180 ( với 95 ion canxi), mà hàm lượng K2 trong Midu giúp gắn các canxi thừa khác trong chế độ ăn và khẩu phần ăn hàng ngày nữa ạ - Lượng K2 chuẩn giúp gắn canxi trong các nguồn thức ăn mình có. Đặc biệt là tỷ lệ K2 càng cao thì sẽ giúp cơ thể làm ""nhiều điều tuyệt vời hơn"" như sạch mạch máu, tốc độ xử lý nhanh hơn,... chị nhé"
90,Tại sao lại ngừng kinh doanh sản phẩm MenaQ7 45mcg ở trên kệ Droppii,"Dạ do trẻ sơ sinh thì không uống trực tiếp được ống chị ạ, cũng đều phải cắt ra cho vào thìa. Nhiều KH phản hồi là nên sản xuất dạng chai sẽ tiện dụng hơn ạ. Vì vậy Midu đã sản xuất dạng chai và cho lên kệ từ giữa tháng 12 rồi chị ạ. Vậy chị tư vấn khách dùng dạng chai nhé ạ.Hiện sản phẩm MenaQ7 45 dạng ống đã không còn trên kệ, thay vào đó midu đã đưa sản phẩm MenaQ7 45 dạng chai lên kệ, về chất lượng và hàm lượng như nhau nên chị tư vấn dạng chai cho khách anh chị nhé."
91,Bán phá giá,"Cảm ơn Anh/Chị đã tin tưởng. Midu luôn bán đúng với giá niêm yết và cũng luôn đào tạo rõ ràng về giá trong tất cả các chương trình đào tạo của mình. Việc xử lý bán phá giá không phải chuyện 1 sớm 1 chiều, nhưng nếu có sự chung tay và đồng hành của các anh chị thì em tin chắc thời gian tới sẽ xử lý được phần lớn.Hiện tại các chuyên gia của Midu vẫn gửi những link shop bán phá giá lên topic trên Cộng đồng chuyên gia phát triển chiều cao để cộng đồng cùng tẩy chay và tạo nên môi trường kinh doanh lành mạnh ạ.Midu đã và đang xử lý rất nhiều trường hợp bán phá giá trên các trang thương mại điện tử, đặc biệt là shopee ạ. Việc này Midu luôn kết hợp và đồng hành với Droppii. Hầu hết các shop bán phá giá trên shopee đều là đại lý Droppii nhập hàng về và đăng lên. Anh chị nhà mình vào shop của họ có thể thấy rất rõ ràng là sản phẩm trên kệ đều là sản phẩm trong Droppii. Midu và Droppii đã cắt mã số của rất nhiều đại lý vi phạm, ngoài ra còn kêu gọi cộng đồng chung cùng report những shop đó, những bài viết đó có đăng lên trang Cộng đồng chuyên gia phát triển chiều cao trên facebook để kêu gọi cộng đồng cùng chung tay ạ.Anh chị nhà mình yên tâm về việc Midu và Droppii sẽ làm việc đến cùng với những TH vi phạm này. Rất cảm ơn anh chị đã góp ý và đồng hành cùng Midu."
92,Vôi hóa bánh nhau,"Trong những tháng cuối của thai kì, bắt đầu từ tuần 31 thường xảy ra hiện tượng vôi hoá bánh rau. Cơ thể mẹ truyền dinh dưỡng sang con qua 2 con đường bánh rau và mạch máu, thời gian này con cần rất nhiều dinh dưỡng nên nếu bánh rau vôi hoá thì sẽ ảnh hưởng đến sự phát triển của con.Vậy thì mình cần làm giảm hiện tượng vôi hoá bánh rau và tăng khả năng vận chuyển dinh dưỡng qua dòng máu bằng cách bổ sung sắt tối ưu bằng sản phẩm sắt có trong K2 DHABác sĩ chị sản phụ kia khám lúc đầu cũng lo lắng bánh rau vôi hoá nhiều nên nói rằng ngừng sử dụng canxi, điều này là không sai, vì nếu chỉ tập trung vào canxi mà bánh rau vôi hoá thì em bé trong bụng cũng kì nhận dc chất dinh dưỡng gì Midu có giải pháp tốt hơn, đó là MenaQ7 giúp chuyển hoá canxi tối ưu, đảo ngược quá trình vôi hoá ở hàm lượng 720mcgVậy hiện tại sản phụ đang dùng 2 ống 180 và 2v K2Dha thì hàm lượng chưa đủ 720mcg nên chưa giải quyết dc triệt để vấn đề vôi hoáC tăng lên 4 ống 180 sẽ tuyệt vời nhất nhé"
93,"Hỏi đáp, về sp sắt của Midu và sp khác","Thành phần sắt trong sp này là sắt nguyên tố và đã đủ hàm lượng khuyến nghị rồi c nhé, nếu chỉ xét về thành phần sắt thì mình không cần bổ sung thêm nữa.Ở Midu rất ngại khi phải nhận xét hoặc so sánh 1 sản phẩm khác ạ, tuy nhiên c có thể thấy trong sản phẩm này có cả canxi, mà khuyến nghị trong các sản phẩm bổ sung, canxi không nên bổ sung cùng sắt sẽ hạn chế hấp thu, ngoài ra đây còn là loại canxi không tan/ít tan nên có khả năng gây lắng đọng, có thể làm tăng hiện tượng vôi hóa bánh rau ở thai phụ làm ảnh hưởng đến dinh dưỡng của con.Ngoài ra nếu uống sp này cần bổ sung thêm DHA vì trong đây chưa có DHA, đây là giai đoạn tốt nhất để các con hoàn thiện cấu trúc não bộ nên rất cần.Sp K2 DHA sử dụng L5 methylfolat sẽ giảm và ngăn ngừa dị tật ống thần kinh tốt hơn axit folic (thành phần đầu tiên) trong sp này."
94,Đau tăng trưởng,"Đau tăng trưởng ở trẻ là tình trạng đau chi tái phát và tự giới hạn, các cơn đau thường diễn ra thường xuyên và nhiều hơn về ban đêm. Thường là do khi cơ thể bạn phát triển nhanh nhưng chưa thích nghi được sẽ dẫn đến tình trạng đau nhức chị nhé"
95,Đo chiều cao vào buổi sáng khi vừa ngủ dậy,"Buổi sáng khi vừa ngủ dậy là thời điểm chúng ta lấy được số đo chiều cao chính xác nhất. Vào ban ngày, cơ thể hoạt động liên tục khiến cho các đĩa đệm bị đè nén, chiều cao sẽ hạ xuống. Sau một đêm nghỉ ngơi, các đốt xương thư giãn hoàn toàn, không còn bị đè nén nên trở về kích thước vốn có. Do đó, chiều cao bạn đo được vào chiều tối có thể thấp hơn chiều cao thực tế khoảng 1-2cm."
96,,"Midu là chất dẫn canxi vào đúng nơi cần chứ midu ko phải là canxi. Midu có hàm lượng k2 cao gấp 18 lần sp khác, chu kỳ bán rã là 72h có tác dụng đưa canxi đến đúng chỗ, làm sạch mạch máu, ngăn ngừa bệnh tim mạch, sơ vữa mạch máu... midu gồm canxi glucoheptonat, d3, k2 dạng mk7 dễ hòa tan, arginin, mg.... k2 nhập khẩu từ nato pharma của Na uy là hãng dược uy tín trên thế giới"
97,Bộ chạm nhảy,"Cảm ơn anh chị đã phàn hồi, Midu xin ghi nhận những góp ý của các chị. Về sản phẩm thì midu sẽ check lại, nếu của chị mà bị lỗi do miếng dán thì Midu sẽ gửi bổ sung thêm.Midu bán sản phẩm này đến nay đã gần 17.000 sản phẩm tuy nhiên cũng không tránh khỏi việc có 1 vài sản phẩm bị lỗi, nếu sản phẩm bị lỗi thì Midu sẽ đổi lại cho mình. Còn về mặt giá thì em nghĩ mình đừng so sánh giá của sp Midu và Shopee anh chị nhé.Vâng c chỉ cần nói ntn thôi ạ.1. SP Midu sản xuất riêng, ghi âm tiếng việt, có lời chúc động viên các con => SP Shopee thì tiếng anh hoặc tiếng trung2. SP Midu có hộp riêng => SP shopee chỉ có tùi nilong mỏng3. Trong SP Midu có thước in riêng (bên trong có các hình ngộ nghĩnh, các thành phần trong sản phẩm Midu để KH nhờ đến các tp trong sp của midu giúp đại lý dễ bán hàng hơn)bán hàng có tư vấn, có đồng hành xuyên suốt cả 1 quá trình, có chăm sóc khách hàng sau bán hàng… thì giá trị sẽ rất khác so với mua hàng trên shoppee nhé cả nhà. Hãy để khách hàng hiểu được những giá trị đó thì bạn ko còn phải lo lắng với giá của sp bán trên shoppee nữa"
98,Viên K2-DHA bị hôi dầu,"Khả năng viên bị rỉ dầu. Giống như Midu 180 ống, 1 sản phẩm là đóng theo ống và 1 sản phẩm đóng viên nang nên xác xuất vẫn sẽ có các viên hỏng không đạt yêu cầu Sẽ khó tránh bị sót những viên hỏng mà lọ có 1 viên rỉ dầu thì cũng sẽ loang ra hết cả lọ"
